File,mCNV Area,Vessel Area,Vessel Junctions,Vessel Length,Fractal Dimension,Tortuosity
AA (1).tif,0.306,0.154,24,5.121,1.371,1.141
AA (2).tif,0.391,0.193,43,6.853,1.320,1.112
AA (3).tif,0.291,0.149,26,4.955,1.280,1.146
BB (1).tif,0.611,0.297,58,10.220,1.359,1.120
BB (2).tif,0.837,0.395,86,13.690,1.377,1.100
CC (1).tif,0.416,0.211,34,6.539,1.304,1.141
CC (2).tif,0.490,0.250,54,8.298,1.297,1.111
CC (3).tif,0.591,0.296,68,10.330,1.391,1.107
DD (1).tif,0.579,0.282,49,8.880,1.348,1.117
DD (2).tif,0.911,0.433,81,14.063,1.351,1.122
EE (1).tif,0.156,0.079,14,2.666,1.194,1.126
EE (2).tif,0.274,0.136,23,4.516,1.325,1.118
EE (3).tif,0.203,0.102,17,3.547,1.287,1.156
FF (1).tif,0.581,0.269,43,8.402,1.291,1.157
FF (2).tif,0.777,0.362,68,11.820,1.341,1.104
GG (1).tif,0.175,0.088,10,2.616,1.327,1.188
GG (2).tif,0.343,0.174,35,5.988,1.299,1.145
GG (3).tif,0.205,0.108,20,3.444,1.407,1.126
HH (1).tif,0.898,0.413,78,13.231,1.379,1.102
HH (2).tif,1.928,0.850,174,28.443,1.399,1.107
HH (3).tif,1.951,0.858,183,29.315,1.389,1.110
II (1).tif,0.702,0.342,73,12.091,1.402,1.130
II (2).tif,1.174,0.544,103,17.678,1.352,1.113
II (3).tif,0.874,0.410,69,13.096,1.354,1.116
II (4).tif,0.562,0.267,55,9.485,1.403,1.114
II (5).tif,0.636,0.309,69,10.888,1.343,1.102
