File,mCNV Area,Vessel Area,Vessel Junctions,Vessel Length,Fractal Dimension,Tortuosity,Vessel Density,Junction Density,Vessel Dimaeter
AA1.tif,0.307,0.151,25,4.870,1.361,1.141,0.492,5.134,31.015
AA2.tif,0.381,0.182,38,5.962,1.326,1.104,0.478,6.373,30.595
AA3.tif,0.283,0.141,25,4.395,1.319,1.116,0.500,5.688,32.194
BB1.tif,0.607,0.289,63,9.584,1.339,1.109,0.476,6.573,30.132
BB2.tif,0.822,0.381,79,12.718,1.352,1.102,0.463,6.211,29.954
CC1.tif,0.408,0.199,26,5.577,1.273,1.155,0.487,4.662,35.645
CC2.tif,0.482,0.236,42,7.377,1.275,1.142,0.491,5.693,32.050
CC3.tif,0.588,0.276,62,9.225,1.369,1.109,0.469,6.721,29.896
DD1.tif,0.575,0.273,50,8.392,1.325,1.123,0.474,5.958,32.521
DD2.tif,0.907,0.423,79,13.436,1.340,1.121,0.466,5.880,31.459
EE1.tif,0.157,0.070,10,2.082,1.117,1.140,0.446,4.804,33.708
EE2.tif,0.279,0.124,27,4.244,1.330,1.118,0.446,6.362,29.285
EE3.tif,0.202,0.093,20,3.013,1.233,1.098,0.460,6.637,30.911
FF1.tif,0.572,0.247,41,7.784,1.272,1.147,0.433,5.267,31.789
FF2.tif,0.778,0.346,62,10.542,1.342,1.104,0.445,5.881,32.799
GG1.tif,0.180,0.082,8,1.986,1.304,1.197,0.457,4.028,41.396
GG2.tif,0.344,0.164,28,4.986,1.248,1.153,0.479,5.615,32.983
GG3.tif,0.204,0.093,10,2.531,1.318,1.346,0.457,3.952,36.890
HH1.tif,0.907,0.394,72,12.087,1.360,1.112,0.434,5.957,32.599
HH2.tif,1.942,0.842,176,28.473,1.394,1.114,0.433,6.181,29.566
HH3.tif,1.989,0.860,165,27.815,1.372,1.123,0.432,5.932,30.905
II1.tif,0.709,0.326,68,10.620,1.368,1.138,0.461,6.403,30.740
II2.tif,1.186,0.516,69,10.997,1.325,1.117,0.435,6.274,46.905
II3.tif,0.894,0.395,72,12.345,1.349,1.143,0.442,5.832,31.985
II4.tif,0.561,0.256,55,8.585,1.388,1.123,0.456,6.406,29.789
II5.tif,0.638,0.291,61,9.509,1.304,1.102,0.456,6.415,30.553
